,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
347,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,353100 Monções,0,0,0,0,0,0,0,0,0,0,0,0,0
348,4,Baixada Santista,XXV,SANTOS,35041,BAIXADA SANTISTA,353110 Mongaguá,0,0,0,0,0,0,0,0,0,0,1,0,0
349,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,353120 Monte Alegre do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
350,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35131,HORIZONTE VERDE,353130 Monte Alto,0,0,0,0,0,0,0,0,0,0,0,0,0
351,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,353140 Monte Aprazível,0,0,0,0,0,0,0,0,0,0,1,0,0
352,5,Barretos,XIV,BARRETOS,35052,SUL-BARRETOS,353150 Monte Azul Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
353,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,353160 Monte Castelo,0,0,0,0,0,0,0,0,0,0,0,0,0
354,17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,35171,ALTO VALE DO PARAÍBA,353170 Monteiro Lobato,0,0,0,0,0,0,0,0,0,0,0,0,0
355,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,353180 Monte Mor,0,0,0,0,0,0,0,0,0,0,0,0,0
356,8,Franca,XVIII,FRANCA,35082,ALTA ANHANGUERA,353190 Morro Agudo,0,0,0,0,0,0,0,0,0,0,0,0,0
357,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,353200 Morungaba,0,0,0,0,0,0,0,0,0,0,0,0,0
358,3,Araraquara,XII,ARARAQUARA,35031,CENTRAL DO DRS III,353205 Motuca,0,0,0,0,0,0,0,0,0,0,0,0,0
359,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,353210 Murutinga do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
360,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35113,ALTO CAPIVARI,353215 Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0
361,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,353220 Narandiba,0,0,0,0,0,0,0,0,0,0,0,0,0
362,17,Taubaté,XXXIII,TAUBATÉ,35174,V. PARAÍBA-REG. SERRANA,353230 Natividade da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
363,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,353240 Nazaré Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
364,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353250 Neves Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
365,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,353260 Nhandeara,0,0,0,0,0,0,0,0,0,0,0,0,0
366,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,353270 Nipoã,0,0,0,0,0,0,0,0,0,0,0,0,0
