,Municipio,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
215,Herculândia,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Holambra,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Hortolândia,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Iacanga,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Iacri,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Iaras,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Ibaté,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Ibirá,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Ibirarema,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Ibitinga,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Ibiúna,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Icém,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Iepê,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Igaraçu do Tietê,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Igarapava,0,0,1,0,1,0,0,0,0,0,0,0,0
230,Igaratá,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Iguape,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Ilhabela,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Ilha Comprida,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Ilha Solteira,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Indaiatuba,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Indiaporã,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Inúbia Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Ipauçu,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Iperó,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Ipeúna,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Ipiguá,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Iporanga,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Ipuã,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Iracemápolis,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Irapuã,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Irapuru,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Itaberá,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Itaí,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Itajobi,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Itaju,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Itanhaém,0,1,0,0,0,0,0,0,0,0,0,0,0
253,Itaóca,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Itapecerica da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Itapetininga,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Itapeva,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Itapevi,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Itapira,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Itapirapuã Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Itápolis,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Itaporanga,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Itapuí,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Itapura,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Itaquaquecetuba,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Itararé,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Itariri,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Itatiba,0,0,0,0,0,0,0,0,0,0,0,1,0
268,Itatinga,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Itirapina,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Itirapuã,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Itobi,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Itu,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Itupeva,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Ituverava,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Jaborandi,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Jaboticabal,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Jacareí,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Jaci,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Jacupiranga,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Jaguariúna,0,0,0,0,0,0,0,0,0,0,0,0,0
